start,end,text,speaker,robot-guess,certainty,status,round,transaction unit,position,gold character,final guess,circle,robot_correct,tu relation,hum-selection
0,28044.0,"Hoi, mijn naam is Robin. Leuk dat je er bent. Ik ben nog aan het leren om goed met mensen te communiceren. Om dit makkelijker te maken, krijgen mijn ogen een roze kleur als ik praat. Als ik luister dan zijn mijn ogen groen. Ik heet dus Robin, hoe heet jij?!",Robot,,,,0.0,,,,,,,,
28044,28054.0,[NAME],Human,,,,0.0,,,,,,,,
28054,47068.0,"Oke, leuk dat je meedoet met dit spelletje! Het gaat over mijn drie vrienden. Ik zal ze aan je voorstellen.   Zie je, de theblet, op die standaard naast mij?",Robot,,,,0.0,,,,,,,,
47068,47078.0,Auw.,Human,,,,0.0,,,,,,,,
47078,77064.0,"Als je op de knop op het scherm drukt, dan zie je mijn vrienden. Kijk goed naar hun gezichten. Die moet je een beetje onthouden.",Robot,,,,0.0,,,,,,,,
77064,77073.0,Oké.,Human,,,,0.0,,,,,,,,
77073,109444.0,"Deze vrienden gaan overal naar toe, en maken dan een footo. Soms staan ze ook op de footo met anderen. Maar, op jouw footo staan mijn vrienden op een andere plek, dan bij mij. Daar maken we een leuk spelletje van. Het zijn in totaal 6 rondes. Wij gaan elke ronde samen uitzoeken, wie waar staat, goed?",Robot,,,,0.0,,,,,,,,
109444,109456.0,Fijn.,Human,,,,0.0,,,,,,,,
109456,137338.0,"Het werkt als volgt. We gaan de vrienden 1 voor 1 langs. Jij vertelt wie je op  elke plek ziet, en dan vertel ik, of dat bij mij het zelfde is, of anders. Als we goed overleggen, vinden we samen de verschillen! Leuk, toch?",Robot,,,,0.0,,,,,,,,
137338,137350.0,Oké.,Human,,,,0.0,,,,,,,,
137350,140624.0,Laten we dit even oefenen. Druk maar op de knop om door te gaan naar de oefenronde. Je kunt het plaatje omhoog bewegen om het hele plaatje te zien.,Robot,,,,0.0,,,,,,,,
140624,172111.0,"Beschrijf nu maar aan mij, wie er bij jou, op de eerste plek staat, zodat ik begrijp wie je bedoelt, dus je kunt bijvoorbeeld aan mij vertellen  hoe hun gezicht er  uit ziet, of iets anders  dat opvalt.",Robot,,,,0.0,,,,,,,,
172111,172230.0,Nummer 1 zie ik een vrouw met blond haar.,Human,,,,0.0,,,,,,,,
172230,202832.0,"Oh ja, die staat bij mij op de tweede plek. Je kan nu op het cijfer 1 tikken. Er opent dan een menuutje. Daarin kan je het cijfer 2 invullen, om aan te geven dat die op de tweede plek staat bij mij. Als je dat gedaan hebt, verschijnt er een vinkje om aan te geven dat je het hebt ingevuld. Klopt dat?",Robot,,,,0.0,,,,,,,,
202832,202963.0,clubs.,Human,,,,0.0,,,,,,,,
202963,242257.0,"Mooi! In het echte spel moeten we samen de antwoorden vinden voor alle vrienden. Voor we doorgaan naar het echte spel  nog even een paar spelregels. Je krijgt het plaatje maar een paar seconden te zien.  Onthoud dus goed wie waar staat, en hoe die persoon er uit ziet. Daarna kun je vertellen wat je zag, en gaan wij overleggen wie  waar staat  op jouw plaatje,  en op de mijne. Is dat goed?",Robot,,,,0.0,,,,,,,,
242257,242267.0,Dat is goed.,Human,,,,0.0,,,,,,,,
242267,256767.0,"Top. Als je bent vergeten wie je zag, kan je op het  scherm tikken  op de knop  Laat het plaatje zien. Ben je klaar voor het echte spel?",Robot,,,,0.0,,,,,,,,
256767,256778.0,Dank u wel.,Human,,,,0.0,,,,,,,,
256778,261879.0,Oke. Klik maar op de knop Ga door op het scherm om te beginnen. Ik heb er zin in!,Robot,,,,0.0,,,,,,,,
261879,261880.0,Laten we beginnen!,Robot,,,,1.0,,,,,,,,
261880,277463.0,Wie staat er bij jou op plek 1?,Robot,,,,1.0,1.0,1.0,,,,,,
277463,284200.0,lang bruin haar.,Human,10.0,0.0004062391786618,MATCH_MULTIPLE,1.0,1.0,1.0,10.0,,outer,,answer-description,
284200,294993.0,die mevrouw?,Robot,,,,1.0,1.0,1.0,,,,,req-clar,
294993,313903.0,Een vrouw met lang bruin haar en groene oog als dat goed is.,Human,14.0,0.0207254597603881,MATCH_MULTIPLE,1.0,1.0,1.0,10.0,,outer,,clar-repair,
313903,322189.0,die meneer?,Robot,,,,1.0,1.0,1.0,,,,,req-clar,
322189,327616.0,Die staat op nummer 2.,Human,0.0,1.0,NO_MATCH,1.0,1.0,1.0,10.0,,outer,,clar-repair,
327616,333189.0,Oké.,Human,0.0,1.0,NO_MATCH,1.0,1.0,1.0,10.0,,outer,,answer-description,
333189,347236.0,"Sorry, ik heb je niet zo goed begrepen. Kan je het herhalen?",Robot,,,,1.0,1.0,1.0,,,,,req-repeat,
347236,348565.0,Op nummer 1 staat een mevrouw met lang bruin haar en groene ogen.,Human,10.0,0.332154228376591,SUCCESS_LOW,1.0,1.0,1.0,10.0,,outer,,clar-repeat,
348565,354488.0,die vrouw met golvend haar?,Robot,,,,1.0,1.0,1.0,,,,,req-clar,
354488,354499.0,Ja.,Human,,,,1.0,1.0,1.0,,,,,clar-confirm,
354499,354500.0,"Even kijken, nee, bij mij staat die op plek 5. Vul dat maar in op de  theblet.",Robot,,,,1.0,1.0,1.0,10.0,10.0,outer,correct,ack-done,
354500,362429.0,En die op plek 2?,Robot,,,,1.0,2.0,2.0,,,,,,
362429,374107.0,,,,,,1.0,,,,,,,,check1?choice=5
374107,375591.0,Is een oude man met een bril.,Human,2.0,1.0,SUCCESS_HIGH,1.0,2.0,2.0,2.0,,inner,,answer-description,
375591,375592.0,"die staat bij mij ergens anders, namelijk op plek 3. Vul dat maar in op de  theblet.",Robot,,,,1.0,2.0,2.0,2.0,2.0,inner,correct,ack-done,
375592,376648.0,"Oké, en die op plek 3?",Robot,,,,1.0,3.0,3.0,,,,,,
376648,379121.0,En grijze haren.,Human,,,,1.0,3.0,3.0,,,,,answer,
379121,380657.0,Oké.,Human,,,,1.0,3.0,3.0,,,,,answer,
380657,394373.0,,,,,,1.0,,,,,,,,check2?choice=3
