start,end,text,speaker,robot-guess,certainty,status,round,transaction unit,position,gold character,final guess,circle,robot_correct,tu relation,hum-selection
0,1.0,"Hoi [NAME], leuk dat je er weer bent. Ik heb je tip opgevolgd en heb speciaal voor jou een footo gemaakt. Druk maar op de knop om de footo te zien.",Robot,,,,0.0,,,,,,,,
1,2289.0,"Na een paar seconden verschijnt er een knop waar je op moet drukken, en dan gaan we weer beginnen met ons spel.",Robot,,,,0.0,,,,,,,,
2289,26532.0,Ja.,Human,,,,0.0,,,,,,,,
26532,26534.0,Laten we beginnen!,Robot,,,,1.0,,,,,,,,
26534,40794.0,Wie staat er bij jou op plek 1?,Robot,,,,1.0,1.0,1.0,,,,,,
40794,45095.0,Op plek 1 staat een man met een bril en grijs haar.,Human,2.0,0.3076324110008585,SUCCESS_LOW,1.0,1.0,1.0,2.0,,inner,,answer-description,
45095,68978.0,die man met bril en grijs?,Robot,,,,1.0,1.0,1.0,,,,,req-clar,
68978,69062.0,Ja.,Human,,,,1.0,1.0,1.0,,,,,clar-confirm,
69062,69063.0,"die man met bril en grijs staat bij mij ergens anders, namelijk op plek 3.",Robot,,,,1.0,1.0,1.0,2.0,2.0,inner,correct,ack-done,
69063,75933.0,"Oké, en die op plek 2?",Robot,,,,1.0,2.0,2.0,,,,,,
75933,88361.0,,,,,,1.0,,,,,,,,check1?choice=3
88361,90050.0,Op plek 2 staat een vrouw met donker haar.,Human,1.0,0.065160007547098,SUCCESS_LOW,1.0,2.0,2.0,24.0,,outer,,answer-description,
90050,95499.0,die een vrouw?,Robot,,,,1.0,2.0,2.0,,,,,req-clar,
95499,95509.0,Ja.,Human,,,,1.0,2.0,2.0,,,,,clar-confirm,
95509,95509.0,"Oh, die een vrouw staat bij mij op plek 1.",Robot,,,,1.0,2.0,2.0,24.0,1.0,outer,incorrect,ack-done,
95509,99596.0,En die op plek 3?,Robot,,,,1.0,3.0,3.0,,,,,,
99596,110796.0,,,,,,1.0,,,,,,,,check2?choice=1
110796,115278.0,Op plek 3 staat een man met bruin haar.,Human,25.0,0.2217530033522616,MATCH_MULTIPLE,1.0,3.0,3.0,25.0,,outer,,answer-description,
115278,121406.0,die meneer met donker haar?,Robot,,,,1.0,3.0,3.0,,,,,req-clar,
121406,121417.0,Ja.,Human,25.0,1.0,SUCCESS_HIGH,1.0,3.0,3.0,25.0,,outer,,clar-confirm,
121417,121419.0,Bij mij staat die meneer met donker haar op plek 4.,Robot,,,,1.0,3.0,3.0,25.0,25.0,outer,correct,ack-done,
121419,126424.0,"Oke, we gaan door met plek 4.",Robot,,,,1.0,4.0,4.0,,,,,,
126424,136870.0,,,,,,1.0,,,,,,,,check3?choice=4
136870,138821.0,Op plek 4 staat een blonde vrouw.,Human,24.0,0.3614135248270078,SUCCESS_LOW,1.0,4.0,4.0,1.0,,inner,,answer-description,
138821,145414.0,die vrouw met staart?,Robot,,,,1.0,4.0,4.0,,,,,req-clar,
