start,end,text,speaker,robot-guess,certainty,status,round,transaction unit,position,gold character,final guess,circle,robot_correct,tu relation,hum-selection
0,1.0,"Hoi [NAME], leuk dat je er weer bent. Ik heb je tip opgevolgd en heb speciaal voor jou een footo gemaakt. Druk maar op de knop om de footo te zien.",Robot,,,,0.0,,,,,,,,
1,6002.0,"Na een paar seconden verschijnt er een knop waar je op moet drukken, en dan gaan we weer beginnen met ons spel.",Robot,,,,0.0,,,,,,,,
6002,25777.0,Oké.,Human,,,,0.0,,,,,,,,
25777,25778.0,Laten we beginnen!,Robot,,,,1.0,,,,,,,,
25778,41613.0,Wie staat er bij jou op plek 1?,Robot,,,,1.0,1.0,1.0,,,,,,
41613,46425.0,"Op plek 1 staat een man met het grijze haar en de bril, die ook één van jouw vrienden is.",Human,2.0,0.4353203354254268,SUCCESS_LOW,1.0,1.0,1.0,2.0,,inner,,answer-description,
46425,48664.0,die man met de bril en het grijze haar?,Robot,,,,1.0,1.0,1.0,,,,,req-clar,
48664,53171.0,Oké.,Human,,,,1.0,1.0,1.0,,,,,answer,
53171,53180.0,Ja.,Human,,,,1.0,1.0,1.0,,,,,clar-confirm,
53180,53182.0,"Even kijken, nee, bij mij staat die man met de bril en het grijze haar op plek 3.",Robot,,,,1.0,1.0,1.0,2.0,2.0,inner,correct,ack-done,
53182,61388.0,En die op plek 2?,Robot,,,,1.0,2.0,2.0,,,,,,
61388,70425.0,,,,,,1.0,,,,,,,,check1?choice=3
70425,75190.0,Daar staat een jonge vrouw die niet één van jouw vrienden is.,Human,24.0,0.0209120874892331,MATCH_MULTIPLE,1.0,2.0,2.0,24.0,,outer,,answer-description,
75190,87334.0,die mevrouw met staart?,Robot,,,,1.0,2.0,2.0,,,,,req-clar,
87334,87348.0,"Ja, dat zou goed kunnen.",Human,24.0,1.0,SUCCESS_HIGH,1.0,2.0,2.0,24.0,,outer,,clar-confirm,
87348,87349.0,Bij mij staat die mevrouw met staart op plek 5.,Robot,,,,1.0,2.0,2.0,24.0,24.0,outer,correct,ack-done,
87349,93143.0,"Oke, we gaan door met plek 3.",Robot,,,,1.0,3.0,3.0,,,,,,
93143,102663.0,,,,,,1.0,,,,,,,,check2?choice=5
102663,104536.0,Daar staat een jonge man met donker haar.,Human,25.0,0.7614463873367289,SUCCESS_HIGH,1.0,3.0,3.0,25.0,,outer,,answer-description,
104536,104537.0,"Oh, die meneer met donker haar staat bij mij op plek 4. Lekker bezig.",Robot,,,,1.0,3.0,3.0,25.0,25.0,outer,correct,ack-done; encourage,
104537,110419.0,"Oké, en die op plek 4?",Robot,,,,1.0,4.0,4.0,,,,,,
110419,122014.0,,,,,,1.0,,,,,,,,check3?choice=4
122014,123748.0,Daar staat een vrouw met haar oorbellen.,Human,1.0,0.6837662164528676,SUCCESS_HIGH,1.0,4.0,4.0,1.0,,inner,,answer-description,
123748,123749.0,"Oh, die vrouw staat bij mij op plek 1.",Robot,,,,1.0,4.0,4.0,1.0,1.0,inner,correct,ack-done,
123749,128463.0,En op plek 5?,Robot,,,,1.0,5.0,5.0,,,,,,
128463,136641.0,,,,,,1.0,,,,,,,,check4?choice=1
136641,138384.0,Op plek 5 staat een kale man.,Human,3.0,1.0,SUCCESS_HIGH,1.0,5.0,5.0,3.0,,inner,,answer-description,
138384,138385.0,"Even kijken, nee, bij mij staat die kale op plek 2.",Robot,,,,1.0,5.0,5.0,3.0,3.0,inner,correct,ack-done,
